VO2 (L/min), HR (b/min)
0.4773706896551724, 53.44660194174756
0.3706896551724138, 53.93203883495141
0.3739224137931034, 57.08737864077668
0.32219827586206895, 58.05825242718444
0.30280172413793105, 57.57281553398056
0.22844827586206895, 56.844660194174736
0.2737068965517241, 61.69902912621356
0.40625, 62.18446601941744
0.33836206896551724, 63.640776699029104
0.33836206896551724, 65.82524271844659
0.3545258620689655, 69.95145631067959
0.293103448275862, 68.73786407766987
0.34159482758620685, 72.8640776699029
0.3286637931034483, 76.9902912621359
0.3351293103448275, 79.41747572815531
0.5129310344827586, 72.37864077669902
0.8911637931034484, 80.38834951456309
0.8038793103448276, 83.54368932038832
1.0689655172413794, 83.30097087378638
0.959051724137931, 83.54368932038832
1.3437500000000002, 85.24271844660193
1.298491379310345, 89.61165048543687
1.1788793103448278, 91.55339805825241
1.0463362068965518, 89.126213592233
1.1045258620689655, 95.19417475728154
1.2467672413793105, 96.65048543689318
1.2435344827586208, 101.26213592233007
1.1594827586206897, 103.93203883495144
1.120689655172414, 103.20388349514562
1.0301724137931036, 108.54368932038834
0.9849137931034484, 115.82524271844659
1.0431034482758623, 117.76699029126212
1.447198275862069, 104.17475728155338
1.447198275862069, 108.3009708737864
1.2241379310344829, 106.60194174757281
1.3566810344827587, 112.18446601941746
1.3502155172413792, 124.0776699029126
1.634698275862069, 119.9514563106796
1.7995689655172413, 110.48543689320387
1.9612068965517244, 118.252427184466
1.851293103448276, 125.29126213592232
1.8157327586206897, 131.6019417475728
1.9612068965517244, 134.51456310679612
2.1293103448275863, 129.66019417475727
2.3588362068965516, 119.9514563106796
2.342672413793104, 140.58252427184465
2.3459051724137936, 143.49514563106794
2.00646551724138, 145.43689320388347
1.8803879310344833, 148.59223300970874
1.6799568965517244, 165.09708737864077
1.5862068965517244, 165.8252427184466
